program,summary_description,program_description,geography,legislation,topic,subtopic,building_blocks,racf_categories,flexible_fund, allocation ,spent,amount_exact,percent_spent,agency,source,source_url,current_as_of,expiration,is_expired,notes,Tina's notes
VOA's Hydroponic Farm,,"A hydroponic farm that will provide healthy food to vulnerable communities (homeless, veterans, children etc.) as well as job training and educational opportunities for Monroe County residents.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,Food Access,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$1,282,500 ",,1,,"Volunteers of America of Western New York, Inc. ",Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v35,12/22/2022,,,,
Expanding Food Access for Monroe County Families ,,"Using their delivery truck model and relationships with organizations who work with low-income families, Foodlink will enhance their operations and address existing gaps in traditional Federal Nutrition Programs (FNPs) to serve more quality, nutritious meals to multi-generational families throughout Monroe County.",Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,Food Access,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$1,430,745 ",,1,,"Foodlink, Inc.",Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v36,12/22/2022,,,,
Senior Meals Program,,"Continued provision of free, healthy meals to senior citizens while supporting small business restaurants disproportionately impacted by the pandemic.",Rochester,ARPA State and Local Fiscal Recovery Funds,Social Services,Senior Services,Reinvest in disinvested communities,Promoting Successful Aging,Yes,"$5,379,800 ","$1,233,633 ",1,,Neighborhood and Business Development,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Youth Mentoring and Family Support in Monroe County,,Creation of a Mentoring Center and enhancement of BBBS program to serve more youth with wraparound services.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,Youth Services,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$655,688 ",,1,,Big Brothers Big Sisters of Greater Rochester NY,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v38,12/22/2022,,,,
Guaranteed Basic Income Pilot Program,,A pilot Guaranteed Basic Income program in the form of a monthly stipend for 175 income-eligible residents per year over the course of two years.,Rochester,ARPA State and Local Fiscal Recovery Funds,Social Services,,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$2,200,000 ","$15,000 ",1,,Administration,City of Rochester ARPA Reporting Dashboard,https://app.powerbi.com/view?r=eyJrIjoiMmFkYzI3ZTAtMjIzMS00YWQ0LTgyZjItYmY5YTIxYTIxNzUwIiwidCI6ImJlMjdkYTJlLTk0YjQtNDFkYS05NDdkLWY2MDJkNjBlODA3YyJ9&pageName=ReportSectioneb9f6e0e0a6d0db032dc,3/9/2023,,,,
Reentry One-Stop,,A one-stop-shop for previously incarcerated residents.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,,Connect residents to jobs and economic opportunities,Partnering Against Poverty,Yes,"$5,117,843 ",,1,,"Reentry Association of WNY, Inc.",Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v33,12/22/2022,,,,
Launching a Multi-Disciplinary Family Justice Center in Monroe County ,,Creation of a Multi-Disciplinary Justice Center and enhancement of wraparound services for domestic violence survivors.  The need for these kinds of services has increased due to the COVID-19 pandemic.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,,Reinvest in disinvested communities,,Yes,"$1,522,097 ",,1,,"Willow Domestic Violence Center of Greater Rochester, Inc.",Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v34,12/22/2022,,,,
Neighborhood Collaborative Project (NCP),,Wraparound services  and neighborhood outreach via collaboration between well-known community organizations in the crescent.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$7,160,849 ",,1,,Community Resource Collaborative on Behalf of the Neighborhood Collaborative Project,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v37,12/22/2022,,,,
Driven2Success,,Helps vulnerable Monroe County residents with financial counseling to secure affordable auto loans and find reliable transportation with local lending partners.,Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,,Reinvest in disinvested communities,Partnering Against Poverty,Yes,"$429,491 ",,1,,Consumer Credit Counseling Service of Rochester,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v39,12/22/2022,,,,
Family Reunification Crisis Centers,,"Family Reunification Centers provide a venue for authorities to provide information to victims, coordinate access to support services, and facilitate the collection of information from families about the victims that can be used for victim identification. A Crisis Assistance Center provides a central location which is designed to ensure effective communication between agencies responsible for the provision of family assistance services; ensure efficient delivery of family assistance services by assessing needs, identifying gaps, avoiding duplication of services; and coordinating/managing requests for services",Monroe County,ARPA State and Local Fiscal Recovery Funds,Social Services,,Reinvest in disinvested communities,,Yes,"$400,000 ",,1,,Monroe County Public Safety,Monroe County Proposed Awardees,https://www.monroecounty.gov/files/news/Referral%20list%20of%20awardees.pdf?v41,12/22/2022,,,,
